# start pid=21614 os=Version 26.5.2 (Build 25F84)
# maximum-reserved-locales=5
# initial-reserved-locales=
# initial-installed-locales=de_DE,en_US
# initial-sample 2026-08-04T20:25:28.782Z;supported;supported;supported;installedDe=1;reservedDe=0;reservedCount=0;catalogMtime=1785870076;assetDirMtime=1785870226
# event reserve ok already-reserved=true
# post-reserve-reserved-locales=de_DE
2026-08-04T20:39:13.340Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:39:18.668Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:39:24.010Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:39:29.042Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:39:34.071Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:39:39.339Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:39:44.593Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:39:49.879Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:39:55.167Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:00.316Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:05.596Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:10.879Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:16.018Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:21.330Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:26.662Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:31.680Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:37.013Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:42.025Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:47.225Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:52.500Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:40:57.576Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:41:02.811Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
